股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
600522,2026-06-17,359.093007,374.5070658,384.1238016,358.9565994,309659027,16944144744.04,6.81,5.18,9.0731,1.4035
600522,2026-06-18,369.1871694,385.692489,394.0133526,369.1871694,284626347,16052977965.24,6.63,11.19,8.3396,2.9867
001965,2026-06-12,12.99913904,12.97250146,13.13232694,12.86595114,15672442,152466842.75,2.05,-0.03,0.2306,-0.2049
001965,2026-06-15,12.9192263,12.57293776,12.9192263,12.39979349,21559140,204204636.53,4.0,-0.4,0.3173,-3.0801
001965,2026-06-16,12.55961897,12.87926993,12.94586388,12.47970623,15342967,147144064.48,3.71,0.31,0.2258,2.4364
001965,2026-06-17,12.94586388,13.0524142,13.13232694,12.86595114,10228327,99949863.97,2.07,0.17,0.1505,1.3444
001965,2026-06-18,13.07905178,13.07905178,13.22555847,12.95918267,13293207,131015814.64,2.04,0.03,0.1956,0.2041
001979,2026-06-12,11.62159808,11.4579136,11.764822,11.38630164,63810108,720246155.76,3.31,0.01,1.7515,0.0894
001979,2026-06-15,11.4579136,11.42722276,11.57044668,11.28399884,48642189,542313983.69,2.5,-0.03,1.3352,-0.2679
001979,2026-06-16,11.4579136,11.74436144,11.79551284,11.3044594,53021295,601753661.88,4.3,0.32,1.4554,2.7753
001979,2026-06-17,11.72390088,11.64205864,11.90804592,11.509065,43917185,499653191.16,3.4,-0.1,1.2055,-0.8711
001979,2026-06-18,11.5602164,11.4579136,11.72390088,11.39653192,46206637,519885216.75,2.81,-0.18,1.2683,-1.5817
002001,2026-06-12,1039.73526622,1071.05902638,1095.61970196,1010.9031688,55460280,1645945642.44,8.09,24.2,1.8262,2.3121
002001,2026-06-15,1071.05902638,1076.39830368,1099.17922016,1060.02451996,29532821,893473876.22,3.66,5.34,0.9725,0.4985
002001,2026-06-16,1067.85546,984.2067823,1071.77093002,972.81632406,72848803,2057688271.86,9.19,-92.19,2.3988,-8.5648
002001,2026-06-17,994.52938508,1014.462687,1026.9210007,991.3258187,50781964,1445500906.0,3.62,30.26,1.6722,3.0741
002001,2026-06-18,1004.14008422,996.665096,1035.8197962,991.3258187,39805147,1129697172.48,4.39,-17.8,1.3107,-1.7544
002027,2026-06-12,68.03993575,69.31171025,69.56606515,66.76816125,220894292,1186156830.23,4.12,1.4,1.5295,2.0599
002027,2026-06-15,69.1845328,68.03993575,70.07477495,67.4040485,186658755,1002110755.5,3.85,-1.27,1.2925,-1.8349
002027,2026-06-16,67.78558085,66.132274,67.9127583,66.00509655,177673300,929940907.92,2.8,-1.91,1.2302,-2.8037
002027,2026-06-17,66.132274,65.1148544,66.25945145,64.73332205,172046893,881318480.97,2.31,-1.02,1.1913,-1.5385
002027,2026-06-18,64.98767695,63.8430799,65.24203185,62.95283775,228471818,1147487282.98,3.52,-1.27,1.582,-1.9531
002028,2026-06-12,2735.272566,2719.11166,2774.341164,2685.37773,8907960,1549635893.88,3.3,20.4,1.4587,0.7558
002028,2026-06-15,2722.2497,2792.8556,2800.7007,2673.139374,11072191,1928904953.01,4.69,73.74,1.8131,2.7121
002028,2026-06-16,2769.3203,2737.626096,2836.78816,2730.0948,10171916,1798437318.88,3.82,-55.23,1.6657,-1.9775
002028,2026-06-17,2824.392902,2932.969086,2965.133996,2824.392902,17321516,3214404564.74,5.14,195.34,2.8364,7.1355
002028,2026-06-18,2965.4478,2984.27604,3104.776776,2960.897642,13737609,2660200022.89,4.91,51.31,2.2495,1.7493
002049,2026-06-12,341.00309632,332.94827168,344.541632,329.92189248,25920488,1878109611.52,4.4,0.42,3.0512,0.126
